DER,Hour,hourly_da,hourly_rt,hourly_pen,hourly_total
0,0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0
0,6,0.0,0.0,0.0,0.0
0,7,0.0,0.0,0.0,0.0
0,8,566.9950000000001,1199.139379574605,8.504925000000002,1757.6294545746052
0,9,245.41400000000002,184.14674471038404,27.609075000000004,401.951669710384
0,10,1903.7849999999999,2900.259387955703,123.746025,4680.298362955702
0,11,0.0,9054.099180413647,0.0,9054.099180413647
0,12,0.0,26923.66601208492,0.0,26923.66601208492
0,13,0.0,58483.62768605984,0.0,58483.62768605984
0,14,25278.24,8809.812371774902,4028.7194999999997,30059.332871774903
0,15,0.0,51694.88203355772,0.0,51694.88203355772
0,16,1958.0990000000002,1311.3851990948403,186.90945000000005,3082.5747490948406
0,17,0.0,0.0,0.0,0.0
0,18,0.0,11559.00905068275,0.0,11559.00905068275
0,19,4285.281,2472.2254532400816,409.04955000000007,6348.456903240081
0,20,4421.6900000000005,1140.5415700767785,909.6048000000001,4652.626770076779
0,21,370.5,319.8419570987639,46.31250000000001,644.0294570987639
0,22,0.0,0.0,0.0,0.0
0,23,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0
1,7,95.01700000000001,215.62686480781224,0.0,310.64386480781224
1,8,113.39900000000002,61.70727161176502,8.504925000000002,166.60134661176502
1,9,1840.605,664.9835022325371,395.73007500000006,2109.8584272325375
1,10,3934.489,3349.9073411833892,276.048825,7008.347516183389
1,11,0.0,10318.737508781744,0.0,10318.737508781744
1,12,0.0,15855.72201678556,0.0,15855.72201678556
1,13,0.0,38723.81020628889,0.0,38723.81020628889
1,14,17852.757,8800.336383649576,2346.13665,24306.956733649575
1,15,0.0,18341.467951285893,0.0,18341.467951285893
1,16,4628.234,3363.516151937491,400.52025000000003,7591.229901937491
1,17,0.0,24930.02178154533,0.0,24930.02178154533
1,18,0.0,7005.2280522267165,0.0,7005.2280522267165
1,19,2726.997,2019.569309979893,418.78882500000003,4327.777484979893
1,20,758.0040000000001,153.75399702909243,113.70060000000001,798.0573970290926
1,21,0.0,0.0,0.0,0.0
1,22,0.0,0.0,0.0,0.0
1,23,0.0,0.0,0.0,0.0
